"State Code","County Code","Site Number","Parameter Code","POC","Latitude","Longitude","Datum","Parameter Name","Duration Description","Pollutant Standard","Date (Local)","Year","Day In Year (Local)","Units of Measure","Exceptional Data Type","Nonreg Observation Count","Observation Count","Observation Percent","Nonreg Arithmetic Mean","Arithmetic Mean","Nonreg First Maximum Value","First Maximum Value","First Maximum Hour","AQI","Daily Criteria Indicator","Tribe Name","State Name","County Name","City Name","Local Site Name","Address","MSA or CBSA Name","Data Source"
"17","031","4002","42602","1","41.855243","-87.75247","WGS84","Nitrogen dioxide (NO2)","1 HOUR","NO2 Annual 1971","2021-02-06","2021","037","Parts per billion","None","","24","100.0000","","12.241667","","19.1","7","18","Y","","Illinois","Cook","Cicero","COOK COUNTY TRAILER","1820 S. 51ST AVE.","Chicago-Naperville-Elgin, IL-IN-WI","AQS Data Mart"
"17","031","4002","42603","1","41.855243","-87.75247","WGS84","Oxides of nitrogen (NOx)","1 HOUR","","2021-02-06","2021","037","Parts per billion","None","","24","100.0000","","15.016667","","24.6","7",".","Y","","Illinois","Cook","Cicero","COOK COUNTY TRAILER","1820 S. 51ST AVE.","Chicago-Naperville-Elgin, IL-IN-WI","AQS Data Mart"
"17","031","4002","42601","1","41.855243","-87.75247","WGS84","Nitric oxide (NO)","1 HOUR","","2021-02-06","2021","037","Parts per billion","None","","24","100.0000","","3.879167","","7.4","8",".","Y","","Illinois","Cook","Cicero","COOK COUNTY TRAILER","1820 S. 51ST AVE.","Chicago-Naperville-Elgin, IL-IN-WI","AQS Data Mart"
"17","031","4002","42602","1","41.855243","-87.75247","WGS84","Nitrogen dioxide (NO2)","1 HOUR","NO2 1-hour 2010","2021-02-06","2021","037","Parts per billion","None","","24","100.0000","","12.241667","","19.1","7","18","Y","","Illinois","Cook","Cicero","COOK COUNTY TRAILER","1820 S. 51ST AVE.","Chicago-Naperville-Elgin, IL-IN-WI","AQS Data Mart"
"17","031","4002","42602","1","41.855243","-87.75247","WGS84","Nitrogen dioxide (NO2)","1 HOUR","NO2 Annual 1971","2021-02-07","2021","038","Parts per billion","None","","24","100.0000","","15.2","","28.7","22","26","Y","","Illinois","Cook","Cicero","COOK COUNTY TRAILER","1820 S. 51ST AVE.","Chicago-Naperville-Elgin, IL-IN-WI","AQS Data Mart"
"17","031","4002","42603","1","41.855243","-87.75247","WGS84","Oxides of nitrogen (NOx)","1 HOUR","","2021-02-07","2021","038","Parts per billion","None","","24","100.0000","","19.295833","","31.5","22",".","Y","","Illinois","Cook","Cicero","COOK COUNTY TRAILER","1820 S. 51ST AVE.","Chicago-Naperville-Elgin, IL-IN-WI","AQS Data Mart"
"17","031","4002","42602","1","41.855243","-87.75247","WGS84","Nitrogen dioxide (NO2)","1 HOUR","NO2 1-hour 2010","2021-02-07","2021","038","Parts per billion","None","","24","100.0000","","15.2","","28.7","22","26","Y","","Illinois","Cook","Cicero","COOK COUNTY TRAILER","1820 S. 51ST AVE.","Chicago-Naperville-Elgin, IL-IN-WI","AQS Data Mart"
"17","031","4002","42601","1","41.855243","-87.75247","WGS84","Nitric oxide (NO)","1 HOUR","","2021-02-07","2021","038","Parts per billion","None","","24","100.0000","","5.208333","","11.5","8",".","Y","","Illinois","Cook","Cicero","COOK COUNTY TRAILER","1820 S. 51ST AVE.","Chicago-Naperville-Elgin, IL-IN-WI","AQS Data Mart"
"17","031","4002","42603","1","41.855243","-87.75247","WGS84","Oxides of nitrogen (NOx)","1 HOUR","","2021-02-08","2021","039","Parts per billion","None","","24","100.0000","","63.804167","","115.6","14",".","Y","","Illinois","Cook","Cicero","COOK COUNTY TRAILER","1820 S. 51ST AVE.","Chicago-Naperville-Elgin, IL-IN-WI","AQS Data Mart"
"17","031","4002","42601","1","41.855243","-87.75247","WGS84","Nitric oxide (NO)","1 HOUR","","2021-02-08","2021","039","Parts per billion","None","","24","100.0000","","24.708333","","66","13",".","Y","","Illinois","Cook","Cicero","COOK COUNTY TRAILER","1820 S. 51ST AVE.","Chicago-Naperville-Elgin, IL-IN-WI","AQS Data Mart"
"17","031","4002","42602","1","41.855243","-87.75247","WGS84","Nitrogen dioxide (NO2)","1 HOUR","NO2 1-hour 2010","2021-02-08","2021","039","Parts per billion","None","","24","100.0000","","40.066667","","51.2","15","48","Y","","Illinois","Cook","Cicero","COOK COUNTY TRAILER","1820 S. 51ST AVE.","Chicago-Naperville-Elgin, IL-IN-WI","AQS Data Mart"
"17","031","4002","42602","1","41.855243","-87.75247","WGS84","Nitrogen dioxide (NO2)","1 HOUR","NO2 Annual 1971","2021-02-08","2021","039","Parts per billion","None","","24","100.0000","","40.066667","","51.2","15","48","Y","","Illinois","Cook","Cicero","COOK COUNTY TRAILER","1820 S. 51ST AVE.","Chicago-Naperville-Elgin, IL-IN-WI","AQS Data Mart"
"17","031","4002","42602","1","41.855243","-87.75247","WGS84","Nitrogen dioxide (NO2)","1 HOUR","NO2 1-hour 2010","2021-02-09","2021","040","Parts per billion","None","","24","100.0000","","29.879167","","49.3","21","46","Y","","Illinois","Cook","Cicero","COOK COUNTY TRAILER","1820 S. 51ST AVE.","Chicago-Naperville-Elgin, IL-IN-WI","AQS Data Mart"
"17","031","4002","42602","1","41.855243","-87.75247","WGS84","Nitrogen dioxide (NO2)","1 HOUR","NO2 Annual 1971","2021-02-09","2021","040","Parts per billion","None","","24","100.0000","","29.879167","","49.3","21","46","Y","","Illinois","Cook","Cicero","COOK COUNTY TRAILER","1820 S. 51ST AVE.","Chicago-Naperville-Elgin, IL-IN-WI","AQS Data Mart"
"17","031","4002","42601","1","41.855243","-87.75247","WGS84","Nitric oxide (NO)","1 HOUR","","2021-02-09","2021","040","Parts per billion","None","","24","100.0000","","11.1875","","20.9","22",".","Y","","Illinois","Cook","Cicero","COOK COUNTY TRAILER","1820 S. 51ST AVE.","Chicago-Naperville-Elgin, IL-IN-WI","AQS Data Mart"
"17","031","4002","42603","1","41.855243","-87.75247","WGS84","Oxides of nitrogen (NOx)","1 HOUR","","2021-02-09","2021","040","Parts per billion","None","","24","100.0000","","39.958333","","68.4","22",".","Y","","Illinois","Cook","Cicero","COOK COUNTY TRAILER","1820 S. 51ST AVE.","Chicago-Naperville-Elgin, IL-IN-WI","AQS Data Mart"
"17","031","4002","42603","1","41.855243","-87.75247","WGS84","Oxides of nitrogen (NOx)","1 HOUR","","2021-02-10","2021","041","Parts per billion","None","","24","100.0000","","40.166667","","66","11",".","Y","","Illinois","Cook","Cicero","COOK COUNTY TRAILER","1820 S. 51ST AVE.","Chicago-Naperville-Elgin, IL-IN-WI","AQS Data Mart"
"17","031","4002","42602","1","41.855243","-87.75247","WGS84","Nitrogen dioxide (NO2)","1 HOUR","NO2 1-hour 2010","2021-02-10","2021","041","Parts per billion","None","","24","100.0000","","30.279167","","46","1","43","Y","","Illinois","Cook","Cicero","COOK COUNTY TRAILER","1820 S. 51ST AVE.","Chicago-Naperville-Elgin, IL-IN-WI","AQS Data Mart"
"17","031","4002","42602","1","41.855243","-87.75247","WGS84","Nitrogen dioxide (NO2)","1 HOUR","NO2 Annual 1971","2021-02-10","2021","041","Parts per billion","None","","24","100.0000","","30.279167","","46","1","43","Y","","Illinois","Cook","Cicero","COOK COUNTY TRAILER","1820 S. 51ST AVE.","Chicago-Naperville-Elgin, IL-IN-WI","AQS Data Mart"
"17","031","4002","42601","1","41.855243","-87.75247","WGS84","Nitric oxide (NO)","1 HOUR","","2021-02-10","2021","041","Parts per billion","None","","24","100.0000","","10.979167","","32.7","11",".","Y","","Illinois","Cook","Cicero","COOK COUNTY TRAILER","1820 S. 51ST AVE.","Chicago-Naperville-Elgin, IL-IN-WI","AQS Data Mart"
"17","031","4002","42603","1","41.855243","-87.75247","WGS84","Oxides of nitrogen (NOx)","1 HOUR","","2021-02-11","2021","042","Parts per billion","None","","24","100.0000","","31.075","","54.6","6",".","Y","","Illinois","Cook","Cicero","COOK COUNTY TRAILER","1820 S. 51ST AVE.","Chicago-Naperville-Elgin, IL-IN-WI","AQS Data Mart"
"17","031","4002","42602","1","41.855243","-87.75247","WGS84","Nitrogen dioxide (NO2)","1 HOUR","NO2 1-hour 2010","2021-02-11","2021","042","Parts per billion","None","","24","100.0000","","23.558333","","39.5","6","37","Y","","Illinois","Cook","Cicero","COOK COUNTY TRAILER","1820 S. 51ST AVE.","Chicago-Naperville-Elgin, IL-IN-WI","AQS Data Mart"
"17","031","4002","42602","1","41.855243","-87.75247","WGS84","Nitrogen dioxide (NO2)","1 HOUR","NO2 Annual 1971","2021-02-11","2021","042","Parts per billion","None","","24","100.0000","","23.558333","","39.5","6","37","Y","","Illinois","Cook","Cicero","COOK COUNTY TRAILER","1820 S. 51ST AVE.","Chicago-Naperville-Elgin, IL-IN-WI","AQS Data Mart"
"17","031","4002","42601","1","41.855243","-87.75247","WGS84","Nitric oxide (NO)","1 HOUR","","2021-02-11","2021","042","Parts per billion","None","","24","100.0000","","8.616667","","22.1","8",".","Y","","Illinois","Cook","Cicero","COOK COUNTY TRAILER","1820 S. 51ST AVE.","Chicago-Naperville-Elgin, IL-IN-WI","AQS Data Mart"
"17","031","4002","42602","1","41.855243","-87.75247","WGS84","Nitrogen dioxide (NO2)","1 HOUR","NO2 1-hour 2010","2021-02-12","2021","043","Parts per billion","None","","24","100.0000","","22.625","","36","1","34","Y","","Illinois","Cook","Cicero","COOK COUNTY TRAILER","1820 S. 51ST AVE.","Chicago-Naperville-Elgin, IL-IN-WI","AQS Data Mart"
