"State Code","County Code","Site Num","Parameter Code","POC","Latitude","Longitude","Datum","Parameter Name","Sample Duration","Pollutant Standard","Date Local","Units of Measure","Event Type","Observation Count","Observation Percent","Arithmetic Mean","1st Max Value","1st Max Hour","AQI","Method Code","Method Name","Local Site Name","Address","State Name","County Name","City Name","CBSA Name","Date of Last Change"
"17","023","0001",44201,1,39.210857,-87.668297,"WGS84","Ozone","8-HR RUN AVG BEGIN HOUR","Ozone 8-hour 2015",2021-01-01,"Parts per million","None",17,100,0.016765,0.019,22,18,NA,"-","416 S. State St. Hwy 1- West Union","416 S. STATE ST. HWY 1/ WEST UNION","Illinois","Clark","Not in a city",NA,2022-01-19
"17","023","0001",44201,1,39.210857,-87.668297,"WGS84","Ozone","8-HR RUN AVG BEGIN HOUR","Ozone 8-hour 2015",2021-01-02,"Parts per million","None",17,100,0.016353,0.02,7,19,NA,"-","416 S. State St. Hwy 1- West Union","416 S. STATE ST. HWY 1/ WEST UNION","Illinois","Clark","Not in a city",NA,2022-01-19
"17","023","0001",44201,1,39.210857,-87.668297,"WGS84","Ozone","8-HR RUN AVG BEGIN HOUR","Ozone 8-hour 2015",2021-01-03,"Parts per million","None",17,100,0.014353,0.026,9,24,NA,"-","416 S. State St. Hwy 1- West Union","416 S. STATE ST. HWY 1/ WEST UNION","Illinois","Clark","Not in a city",NA,2022-01-19
"17","023","0001",44201,1,39.210857,-87.668297,"WGS84","Ozone","8-HR RUN AVG BEGIN HOUR","Ozone 8-hour 2015",2021-01-04,"Parts per million","None",17,100,0.016882,0.022,23,20,NA,"-","416 S. State St. Hwy 1- West Union","416 S. STATE ST. HWY 1/ WEST UNION","Illinois","Clark","Not in a city",NA,2022-01-19
"17","023","0001",44201,1,39.210857,-87.668297,"WGS84","Ozone","8-HR RUN AVG BEGIN HOUR","Ozone 8-hour 2015",2021-01-05,"Parts per million","None",17,100,0.018118,0.028,7,26,NA,"-","416 S. State St. Hwy 1- West Union","416 S. STATE ST. HWY 1/ WEST UNION","Illinois","Clark","Not in a city",NA,2022-01-19
"17","023","0001",44201,1,39.210857,-87.668297,"WGS84","Ozone","8-HR RUN AVG BEGIN HOUR","Ozone 8-hour 2015",2021-01-06,"Parts per million","None",17,100,0.024059,0.027,9,25,NA,"-","416 S. State St. Hwy 1- West Union","416 S. STATE ST. HWY 1/ WEST UNION","Illinois","Clark","Not in a city",NA,2022-01-19
"17","023","0001",44201,1,39.210857,-87.668297,"WGS84","Ozone","8-HR RUN AVG BEGIN HOUR","Ozone 8-hour 2015",2021-01-07,"Parts per million","None",17,100,0.025353,0.029,8,27,NA,"-","416 S. State St. Hwy 1- West Union","416 S. STATE ST. HWY 1/ WEST UNION","Illinois","Clark","Not in a city",NA,2022-01-19
"17","023","0001",44201,1,39.210857,-87.668297,"WGS84","Ozone","8-HR RUN AVG BEGIN HOUR","Ozone 8-hour 2015",2021-01-08,"Parts per million","None",17,100,0.029765,0.031,19,29,NA,"-","416 S. State St. Hwy 1- West Union","416 S. STATE ST. HWY 1/ WEST UNION","Illinois","Clark","Not in a city",NA,2022-01-19
"17","023","0001",44201,1,39.210857,-87.668297,"WGS84","Ozone","8-HR RUN AVG BEGIN HOUR","Ozone 8-hour 2015",2021-01-09,"Parts per million","None",17,100,0.029706,0.032,23,30,NA,"-","416 S. State St. Hwy 1- West Union","416 S. STATE ST. HWY 1/ WEST UNION","Illinois","Clark","Not in a city",NA,2022-01-19
"17","023","0001",44201,1,39.210857,-87.668297,"WGS84","Ozone","8-HR RUN AVG BEGIN HOUR","Ozone 8-hour 2015",2021-01-10,"Parts per million","None",17,100,0.028176,0.032,7,30,NA,"-","416 S. State St. Hwy 1- West Union","416 S. STATE ST. HWY 1/ WEST UNION","Illinois","Clark","Not in a city",NA,2022-01-19
