"State Code","County Code","Site Number","Parameter Code","POC","Latitude","Longitude","Datum","Parameter Name","Duration Description","Pollutant Standard","Date (Local)","Year","Day In Year (Local)","Units of Measure","Exceptional Data Type","Nonreg Observation Count","Observation Count","Observation Percent","Nonreg Arithmetic Mean","Arithmetic Mean","Nonreg First Maximum Value","First Maximum Value","First Maximum Hour","AQI","Daily Criteria Indicator","Tribe Name","State Name","County Name","City Name","Local Site Name","Address","MSA or CBSA Name","Data Source"
"17","031","6005","88101","1","41.864426","-87.748902","WGS84","PM2.5 - Local Conditions","24 HOUR","PM25 Annual 2012","2021-01-10","2021","010","Micrograms/cubic meter (LC)","None","","1","100.0000","","11.7","","11.7","0","49","Y","","Illinois","Cook","Cicero","LIBERTY SCHOOL","13TH ST. & 50TH AVE.","Chicago-Naperville-Elgin, IL-IN-WI","AQS Data Mart"
"17","031","6005","88101","1","41.864426","-87.748902","WGS84","PM2.5 - Local Conditions","24 HOUR","PM25 24-hour 2012","2021-01-10","2021","010","Micrograms/cubic meter (LC)","None","","1","100.0000","","11.7","","11.7","0","49","Y","","Illinois","Cook","Cicero","LIBERTY SCHOOL","13TH ST. & 50TH AVE.","Chicago-Naperville-Elgin, IL-IN-WI","AQS Data Mart"
"17","031","6005","88501","3","41.864426","-87.748902","WGS84","PM2.5 Raw Data","1 HOUR","","2021-01-11","2021","011","Micrograms/cubic meter (LC)","None","","12","50.0000","","20.558333","","31.7","18",".","N","","Illinois","Cook","Cicero","LIBERTY SCHOOL","13TH ST. & 50TH AVE.","Chicago-Naperville-Elgin, IL-IN-WI","AQS Data Mart"
"17","031","6005","88502","3","41.864426","-87.748902","WGS84","Acceptable PM2.5 AQI & Speciation Mass","1 HOUR","","2021-01-11","2021","011","Micrograms/cubic meter (LC)","None","","12","50.0000","","9.275","","14.8","18",".","N","","Illinois","Cook","Cicero","LIBERTY SCHOOL","13TH ST. & 50TH AVE.","Chicago-Naperville-Elgin, IL-IN-WI","AQS Data Mart"
"17","031","6005","88502","3","41.864426","-87.748902","WGS84","Acceptable PM2.5 AQI & Speciation Mass","24-HR BLK AVG","","2021-01-12","2021","012","Micrograms/cubic meter (LC)","None","","1","100.0000","","12.5","","12.5","23","52","Y","","Illinois","Cook","Cicero","LIBERTY SCHOOL","13TH ST. & 50TH AVE.","Chicago-Naperville-Elgin, IL-IN-WI","AQS Data Mart"
"17","031","6005","88501","3","41.864426","-87.748902","WGS84","PM2.5 Raw Data","1 HOUR","","2021-01-12","2021","012","Micrograms/cubic meter (LC)","None","","24","100.0000","","27.170833","","42.1","10",".","Y","","Illinois","Cook","Cicero","LIBERTY SCHOOL","13TH ST. & 50TH AVE.","Chicago-Naperville-Elgin, IL-IN-WI","AQS Data Mart"
"17","031","6005","88501","3","41.864426","-87.748902","WGS84","PM2.5 Raw Data","24-HR BLK AVG","","2021-01-12","2021","012","Micrograms/cubic meter (LC)","None","","1","100.0000","","27.1","","27.1","23",".","Y","","Illinois","Cook","Cicero","LIBERTY SCHOOL","13TH ST. & 50TH AVE.","Chicago-Naperville-Elgin, IL-IN-WI","AQS Data Mart"
"17","031","6005","88502","3","41.864426","-87.748902","WGS84","Acceptable PM2.5 AQI & Speciation Mass","1 HOUR","","2021-01-12","2021","012","Micrograms/cubic meter (LC)","None","","24","100.0000","","12.591667","","20.1","10",".","Y","","Illinois","Cook","Cicero","LIBERTY SCHOOL","13TH ST. & 50TH AVE.","Chicago-Naperville-Elgin, IL-IN-WI","AQS Data Mart"
"17","031","6005","88501","3","41.864426","-87.748902","WGS84","PM2.5 Raw Data","24-HR BLK AVG","","2021-01-13","2021","013","Micrograms/cubic meter (LC)","None","","1","100.0000","","26.9","","26.9","23",".","Y","","Illinois","Cook","Cicero","LIBERTY SCHOOL","13TH ST. & 50TH AVE.","Chicago-Naperville-Elgin, IL-IN-WI","AQS Data Mart"
"17","031","6005","88501","3","41.864426","-87.748902","WGS84","PM2.5 Raw Data","1 HOUR","","2021-01-13","2021","013","Micrograms/cubic meter (LC)","None","","23","96.0000","","26.96087","","42.6","7",".","Y","","Illinois","Cook","Cicero","LIBERTY SCHOOL","13TH ST. & 50TH AVE.","Chicago-Naperville-Elgin, IL-IN-WI","AQS Data Mart"
