"State Code","County Code","Site Num","Parameter Code","POC","Latitude","Longitude","Datum","Parameter Name","Sample Duration","Pollutant Standard","Date Local","Units of Measure","Event Type","Observation Count","Observation Percent","Arithmetic Mean","1st Max Value","1st Max Hour","AQI","Method Code","Method Name","Local Site Name","Address","State Name","County Name","City Name","CBSA Name","Date of Last Change"
"17","023","0001",64101,1,39.210857,-87.668297,"WGS84","Barometric pressure","1 HOUR",NA,2021-01-01,"Millibars","None",24,100,996.2375,1006.8,0,NA,"014","INSTRUMENTAL - BAROMETRIC SENSOR","416 S. State St. Hwy 1- West Union","416 S. STATE ST. HWY 1/ WEST UNION","Illinois","Clark","Not in a city",NA,2022-02-07
"17","023","0001",64101,1,39.210857,-87.668297,"WGS84","Barometric pressure","1 HOUR",NA,2021-01-02,"Millibars","None",24,100,1000.3875,1002.6,9,NA,"014","INSTRUMENTAL - BAROMETRIC SENSOR","416 S. State St. Hwy 1- West Union","416 S. STATE ST. HWY 1/ WEST UNION","Illinois","Clark","Not in a city",NA,2022-02-07
"17","023","0001",64101,1,39.210857,-87.668297,"WGS84","Barometric pressure","1 HOUR",NA,2021-01-03,"Millibars","None",24,100,1000.541667,1002.1,19,NA,"014","INSTRUMENTAL - BAROMETRIC SENSOR","416 S. State St. Hwy 1- West Union","416 S. STATE ST. HWY 1/ WEST UNION","Illinois","Clark","Not in a city",NA,2022-02-07
"17","023","0001",64101,1,39.210857,-87.668297,"WGS84","Barometric pressure","1 HOUR",NA,2021-01-04,"Millibars","None",24,100,999.770833,1001.8,1,NA,"014","INSTRUMENTAL - BAROMETRIC SENSOR","416 S. State St. Hwy 1- West Union","416 S. STATE ST. HWY 1/ WEST UNION","Illinois","Clark","Not in a city",NA,2022-02-07
"17","023","0001",64101,1,39.210857,-87.668297,"WGS84","Barometric pressure","1 HOUR",NA,2021-01-05,"Millibars","None",24,100,1004.495833,1008.8,23,NA,"014","INSTRUMENTAL - BAROMETRIC SENSOR","416 S. State St. Hwy 1- West Union","416 S. STATE ST. HWY 1/ WEST UNION","Illinois","Clark","Not in a city",NA,2022-02-07
"17","023","0001",64101,1,39.210857,-87.668297,"WGS84","Barometric pressure","1 HOUR",NA,2021-01-06,"Millibars","None",24,100,1010.15,1012.1,9,NA,"014","INSTRUMENTAL - BAROMETRIC SENSOR","416 S. State St. Hwy 1- West Union","416 S. STATE ST. HWY 1/ WEST UNION","Illinois","Clark","Not in a city",NA,2022-02-07
"17","023","0001",64101,1,39.210857,-87.668297,"WGS84","Barometric pressure","1 HOUR",NA,2021-01-07,"Millibars","None",24,100,1007.7875,1009.8,0,NA,"014","INSTRUMENTAL - BAROMETRIC SENSOR","416 S. State St. Hwy 1- West Union","416 S. STATE ST. HWY 1/ WEST UNION","Illinois","Clark","Not in a city",NA,2022-02-07
"17","023","0001",64101,1,39.210857,-87.668297,"WGS84","Barometric pressure","1 HOUR",NA,2021-01-08,"Millibars","None",24,100,1006.1625,1007.3,9,NA,"014","INSTRUMENTAL - BAROMETRIC SENSOR","416 S. State St. Hwy 1- West Union","416 S. STATE ST. HWY 1/ WEST UNION","Illinois","Clark","Not in a city",NA,2022-02-07
"17","023","0001",64101,1,39.210857,-87.668297,"WGS84","Barometric pressure","1 HOUR",NA,2021-01-09,"Millibars","None",24,100,1009.754167,1011.7,19,NA,"014","INSTRUMENTAL - BAROMETRIC SENSOR","416 S. State St. Hwy 1- West Union","416 S. STATE ST. HWY 1/ WEST UNION","Illinois","Clark","Not in a city",NA,2022-02-07
"17","023","0001",64101,1,39.210857,-87.668297,"WGS84","Barometric pressure","1 HOUR",NA,2021-01-10,"Millibars","None",24,100,1012.095833,1013.5,9,NA,"014","INSTRUMENTAL - BAROMETRIC SENSOR","416 S. State St. Hwy 1- West Union","416 S. STATE ST. HWY 1/ WEST UNION","Illinois","Clark","Not in a city",NA,2022-02-07
"17","023","0001",64101,1,39.210857,-87.668297,"WGS84","Barometric pressure","1 HOUR",NA,2021-01-11,"Millibars","None",24,100,1011.154167,1013.1,9,NA,"014","INSTRUMENTAL - BAROMETRIC SENSOR","416 S. State St. Hwy 1- West Union","416 S. STATE ST. HWY 1/ WEST UNION","Illinois","Clark","Not in a city",NA,2022-02-07
