"oris_code","unit_id","facility_name","state","fips_code","ertac_region","fuel_type","gen_capacity_mw","annual_so2_2022_tons","avg_annual_so2_rate_2022","annual_nox_2022_tons","avg_annual_nox_rate_2022","annual_so2_2038_tons","avg_annual_so2_rate_2038","annual_nox_2038_tons","avg_annual_nox_rate_2038","longitude","latitude"
2167,"2","New Madrid Power Plant","MO","29143","MISC","Coal",803.888819129571,6716.68480350002,0.392367170176908,8450.98038750001,0.493679152271078,4744.91339589941,0.392367170176907,1451.16526250452,0.12,-89.5617,36.5147
2167,"1","New Madrid Power Plant","MO","29143","MISC","Coal",751.428275178104,7044.82860549999,0.381928337494996,6974.55992400001,0.378118791201378,4972.88646602396,0.381928337494995,1562.45640173451,0.12,-89.5617,36.5147
8222,"B1","Coyote","ND","38057","MISW","Coal",546.115344038013,11606.2865639999,0.906448419415843,5422.33245900001,0.423482968467552,6314.15797145448,0.906448419415846,2949.97333192306,0.423492518896324,-101.8139,47.2217
7790,"1-1","Bonanza","UT","49047","BASN","Coal",530.593492400041,959.420584999995,0.0504361587801205,4699.2268315,0.247035506974595,0,NA,0,NA,-109.2844,40.0864
6076,"4","Colstrip","MT","30087","NWPP","Coal",940.685850342579,2504.80307849999,0.0865713117738003,4635.42972450001,0.160210291711054,0,NA,0,NA,-106.614,45.8831
1082,"3","Walter Scott Jr. Energy Center","IA","19155","MISW","Coal",782.862292680308,7753.01906,0.3935567465724,4599.10699099999,0.233458678549454,1040.82267282977,0.1,2429.52361843541,0.233423394960264,-95.8408,41.18
6481,"2SGA","Intermountain","UT","49027","CASO","Coal",1112.74512102529,896.685137499999,0.0608362893252669,4542.831215,0.308211860098544,0,NA,0,NA,-112.5792,39.5108
2817,"2","Leland Olds","ND","38057","SPPN","Coal",494.430520286967,1384.01216649999,0.0922287041400278,4495.15085449998,0.299550790274411,417.339071425502,0.0922287041400286,1355.48099120872,0.299550806203244,-101.3194,47.2819
6034,"2","Belle River","MI","26147","MISE","Boiler Gas",830,12375.946112,0.594523342905485,4313.71611949999,0.207224959166856,1.18888809212112,0.000600193946086462,50.7342966287733,0.0256125180303701,-82.4945,42.7748
2823,"B2","Milton R Young","ND","38065","MISW","Coal",630.32745528714,1668.07435249999,0.127528976352228,4211.65948149999,0.321993214280209,892.761755625185,0.127528976352229,2253.61952141595,0.321924397906488,-101.2139,47.0664
6076,"3","Colstrip","MT","30087","NWPP","Coal",845.326379835547,2419.057961,0.0893926478408234,4152.33386150001,0.15344325129157,0,NA,0,NA,-106.614,45.8831
2832,"7","Miami Fort Power Station","OH","39061","PJMW","Coal",565.682258974794,9325.07226349998,0.548159645107305,4110.49412849999,0.241628905280839,0,NA,0,NA,-84.8031,39.1131
2168,"MB2","Thomas Hill Energy Center","MO","29175","MISC","Coal",363.383936540749,3718.28281699999,0.350506580962984,4098.49572599997,0.386347621930141,2652.00357480567,0.350506580962987,850.964174979992,0.112469133272598,-92.6392,39.5531
6165,"3","Hunter","UT","49015","BASN","Coal",556.76659276133,1249.72256849999,0.083943530038594,4073.2420725,0.273598578505123,598.833944845892,0.0839435300385945,1949.3441276363,0.273255764377061,-111.0289,39.1747
3943,"1","Fort Martin Power Station","WV","54061","PJMW","Coal",607.984171014931,1494.40566699999,0.0999097805734303,3938.1247445,0.263286728484945,1122.17265717742,0.0999097805734301,2965.30946801005,0.264008765840351,-79.9275,39.7107
298,"LIM2","Limestone","TX","48293","TRE","Coal",1116.08507107702,3470.50370749999,0.156017757007829,3916.896575,0.176085510798478,1023.50169849257,0.15601775700783,1155.7652609373,0.176179388763677,-96.2525,31.4219
1403,"5","Ninemile Point","LA","22051","MISS","Boiler Gas",743.051404292738,8.10917799999999,0.000600011607169166,3811.51561400001,0.282020398282849,9.94770440585522,0.000600011607169161,4670.2083327915,0.28169104079165,-90.1458,29.9472
8042,"1","Belews Creek","NC","37169","SRCA","Coal",1363.77697746838,1127.659406,0.0433420986920395,3767.1955905,0.144793864359135,966.962784813739,0.04334209869204,3230.26465803285,0.144789904853305,-80.058825,36.282736
6019,"1","W H Zimmer Generating Station","OH","39025","PJMW","Coal",1307.82449626363,6285.65040500001,0.384310613612162,3693.68102150001,0.225835152831771,0,NA,0,NA,-84.2286,38.8689
6077,"1","Gerald Gentleman Station","NE","31111","SPPN","Coal",861.201808602561,10127.1831374999,0.567809490459694,3684.3194125,0.206571906511292,3053.92419244356,0.567809490459691,1111.01812802762,0.206569186860555,-101.1408,41.0808
6481,"1SGA","Intermountain","UT","49027","CASO","Coal",1095.18182992162,770.244662499997,0.0573412793114734,3682.1800165,0.274121877217491,0,NA,0,NA,-112.5792,39.5108
2168,"MB3","Thomas Hill Energy Center","MO","29175","MISC","Coal",825.889779025307,7575.47832649999,0.381623854015316,3663.555327,0.184556016535266,5326.01367939476,0.381623854015316,1573.8249943188,0.112768985592584,-92.6392,39.5531
3845,"BW22","Centralia","WA","53041","NWPP","Coal",901.193691845283,1261.79346249999,0.0612522318394882,3650.313478,0.177200036365908,0,NA,0,NA,-122.8578,46.7559
6204,"3","Laramie River","WY","56031","RMRG","Coal",667.696006007946,3264.50420800001,0.128011274929641,3624.80011199998,0.142139588169347,2089.95341942153,0.128011274929641,2320.53541398481,0.142134601710788,-104.8828,42.1103
6021,"C1","Craig","CO","08081","RMRG","Coal",603.41670969835,742.281286,0.0533728116758107,3492.323653,0.25111118407281,0,NA,0,NA,-107.5912,40.4627
6096,"1","Nebraska City Station","NE","31131","SPPN","Coal",729.193898604381,8378.30739750001,0.488503903078223,3367.77347799998,0.196360721877692,2523.5667311154,0.488503903078224,1014.40324831125,0.196364906853979,-95.7765,40.6215
6004,"1","Pleasants Power Station","WV","54073","PJMW","Coal",801.510150356141,6100.31653649998,0.293579366450434,3327.9971685,0.160160754680713,4582.47338838626,0.293579366450435,2211.25198751974,0.14166540698383,-81.2944,39.3668
8069,"2","Huntington","UT","49015","BASN","Coal",576.627981876979,1257.46346699999,0.0776742690413289,3301.247702,0.203920041342415,0,NA,0,NA,-111.0781,39.3792
2832,"8","Miami Fort Power Station","OH","39061","PJMW","Coal",572.92045293021,7633.60838900001,0.507704051221571,3292.15165849999,0.21895788322922,0,NA,0,NA,-84.8031,39.1131
2823,"B1","Milton R Young","ND","38065","MISW","Coal",326.244996807863,222.293974499999,0.0227138019039786,3246.127528,0.331686442657239,119.330500485406,0.0227138019039788,1743.33320506448,0.331832389132616,-101.2139,47.0664
6004,"2","Pleasants Power Station","WV","54073","PJMW","Coal",772.000776214406,6651.52415950003,0.326325317153259,3217.808623,0.157866436963809,5010.57739585483,0.326325317153256,2913.51744002723,0.18974948943708,-81.2944,39.3668
6030,"1","Coal Creek","ND","38055","MISW","Coal",613.728246587714,3340.16564250002,0.140864754670588,3210.25311549997,0.135385955651866,1797.85552541836,0.140864754670586,1726.67604785261,0.135287732766923,-101.1567,47.3761
298,"LIM1","Limestone","TX","48293","TRE","Coal",1072.02348728985,2866.491504,0.158533251842505,3152.45499649999,0.17434865625274,845.442714171868,0.158533251842508,929.784777047011,0.174348659877338,-96.2525,31.4219
6146,"3","Martin Lake","TX","48401","TRE","Coal",1112.99948573812,7071.11323699997,0.298765501610494,3083.78995899999,0.130294908748049,2087.02093804656,0.298765501610485,910.707482716642,0.130371465342811,-94.5703,32.2597
2727,"4","Marshall","NC","37035","SRCA","Coal",804.209123991569,448.224790000001,0.0335481848931119,3053.57735649999,0.228550450637238,384.272674282447,0.0335481848931143,2618.33757657658,0.22858891357707,-80.96115,35.597972
8102,"1","Gen J M Gavin","OH","39053","PJMW","Coal",1585.0767451314,10328.9885364999,0.324459267465298,3053.17371749999,0.0959077942940608,7631.91095047069,0.3244592674653,2270.09615928965,0.0965097393954112,-82.1158,38.9347
2451,"4","San Juan","NM","35045","SRSG","Coal",699.855854847412,517.870375999999,0.0382633628252937,3048.8526565,0.225267481599527,0,NA,0,NA,-108.4386,36.8006
6146,"1","Martin Lake","TX","48401","TRE","Coal",1077.3075803402,4598.24699699999,0.207785942157146,3046.5366035,0.137667132471893,1356.74304713734,0.207785942157144,898.987723087897,0.137680463094066,-94.5703,32.2597
6641,"1","Independence","AR","05063","MISS","Coal",839.076473217743,7894.97005799998,0.458661875608257,2974.33300149999,0.172795228243983,0,NA,0,NA,-91.4083,35.6733
6021,"C3","Craig","CO","08081","RMRG","Coal",617.250553916036,1714.71354449999,0.126754175395616,2973.325855,0.219792669243123,0,NA,0,NA,-107.5912,40.4627
6190,"2","Brame Energy Center","LA","22079","MISS","Coal",553.616609282369,3679.09511299999,0.262397807396529,2963.1080645,0.211332687881988,0,NA,0,NA,-92.7167,31.395
6077,"2","Gerald Gentleman Station","NE","31111","SPPN","Coal",875.004860398899,11101.1893624999,0.574216022351906,2949.8605375,0.152583397059957,3349.2536968482,0.574216022351907,889.764536641631,0.152546537021349,-101.1408,41.0808
7902,"1","H W Pirkey Power Plant","TX","48203","SPPS","Coal",785.491230309287,1247.038087,0.0741859496440494,2949.84337699999,0.175485363683165,0,NA,0,NA,-94.4852,32.4607
6034,"1","Belle River","MI","26147","MISE","Boiler Gas",810,8212.73782749999,0.572087361583155,2940.67225499999,0.204842948475788,1.1656430022572,0.00060019394608646,49.742341799607,0.0256125180303703,-82.4945,42.7748
6664,"101","Louisa","IA","19115","MISW","Coal",822.985993091987,4892.65640949998,0.295832958969724,2900.10227699999,0.175353788640028,893.310008102142,0.1,1565.0823610641,0.175200361226127,-91.0936,41.3153
6146,"2","Martin Lake","TX","48401","TRE","Coal",1121.6994783506,6020.45794950001,0.253959581851651,2869.3742405,0.121038148327868,1776.81520852568,0.253959581851648,847.104004190456,0.121076281684672,-94.5703,32.2597
6257,"3","Scherer","GA","13207","SRSE","Coal",902.565405851334,361.365332999999,0.0195982685150482,2848.849371,0.154504347354715,0,NA,0,NA,-83.8072,33.0583
2107,"2","Sioux","MO","29183","MISC","Coal",474.514258470898,989.396080999994,0.084826045232766,2844.292318,0.243855897001353,1648.69905396937,0.199999999999999,1483.82914857243,0.179999999999999,-90.2917,38.9158
994,"4","IPL - Petersburg Generating Station","IN","18125","MISC","Boiler Gas",609.6,2291.5356995,0.153890539451754,2823.42162899999,0.189609909931302,0.0894234175066192,0.000582201604166951,15.3595278450961,0.1,-87.2525,38.5267
8066,"BW71","Jim Bridger","WY","56037","BASN","Coal",790.223155245428,2008.723198,0.127950959550606,2801.84065099999,0.178470682351997,0,NA,0,NA,-108.7875,41.7378
6138,"1","Flint Creek Power Plant","AR","05007","SPPS","Coal",619.634069948846,819.058771000001,0.057820507961887,2777.51195749999,0.196075248735557,287.80384110205,0.0578205079618867,976.521294102888,0.196185558345648,-94.5241,36.2561
6264,"1","Mountaineer (1301)","WV","54053","PJMW","Coal",1381.34460278815,2589.11416949999,0.0971236046367711,2769.31591799999,0.103883385098499,1933.70687306885,0.0971236046367713,2067.95410215723,0.103866392275969,-81.9344,38.9794
3943,"2","Fort Martin Power Station","WV","54061","PJMW","Coal",592.395179034691,1390.94178499999,0.128852384073973,2739.98969049999,0.253823853569135,1032.95501931787,0.128852384073971,2041.90296699696,0.254710089427727,-79.9275,39.7107
564,"1","Curtis H. Stanton Energy Center","FL","12095","FRCC","Coal",459.791352114098,820.625267500001,0.0738406837126453,2718.78159350001,0.244638691593048,996.932224472981,0.0738406837126435,3303.85543388395,0.244709658427071,-81.1686,28.4836
6204,"2","Laramie River","WY","56031","RMRG","Coal",656.247934382719,2030.61005599999,0.107189433440318,2716.74308850001,0.143408209566759,1268.21289984758,0.107189433440318,1696.25171680879,0.143367300962443,-104.8828,42.1103
